location,median_age,aged_65_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,happiness_score,KMeans_clusters,Hr_predicted_clusters
Afghanistan,18.6,2.581,1803.987,42.81785714285714,64.83,0.498,2.567,1,4
Albania,38.0,13.188,11803.431,1.1,78.57,0.785,4.883,0,0
Algeria,29.1,6.211,13913.839,0.5,76.88,0.754,5.005,0,0
Andorra,30.9,8.696,44472.914500000006,0.6074074074074074,83.73,0.858,6.659642857142858,2,1
Angola,16.8,2.405,5819.495,16.845833333333335,61.15,0.581,5.051238095238095,3,3
Antigua and Barbuda,32.1,6.933,21490.943,2.3555555555555556,77.02,0.78,5.4469642857142855,0,0
Argentina,31.9,11.198,18933.907,0.6,76.67,0.825,5.975,0,0
Armenia,35.7,11.232,8787.58,1.8,75.09,0.755,4.677,0,0
Australia,37.9,15.504,44648.71,0.5,83.44,0.939,7.223,2,2
Austria,44.4,19.202,45436.686,0.7,81.54,0.908,7.294,2,2
Azerbaijan,32.4,6.018,15847.419,2.3555555555555556,73.0,0.757,5.165,0,0
Bahamas,34.3,8.996,27717.847,2.3555555555555556,73.92,0.807,5.4469642857142855,0,0
Bahrain,32.4,2.372,43290.705,0.6074074074074074,77.29,0.846,6.227,0,1
Bangladesh,27.5,5.098,3523.984,14.8,72.59,0.608,4.833,3,3
Barbados,39.8,14.952,16978.068,2.3555555555555556,79.19,0.8,5.4469642857142855,0,0
Belarus,40.3,14.799,17167.967,2.3555555555555556,74.79,0.808,5.54,0,0
Belgium,41.8,18.571,42658.576,0.2,81.63,0.916,6.864,2,2
Belize,25.0,3.853,7824.362,2.3555555555555556,74.62,0.708,5.4469642857142855,3,0
Benin,18.8,3.244,2064.236,49.6,61.77,0.515,5.216,1,4
Bhutan,28.6,4.885,8708.597,1.5,71.78,0.612,5.051238095238095,3,0
Bolivia,25.4,6.704,6885.829,7.1,71.51,0.693,5.747,3,0
Bosnia and Herzegovina,42.5,16.569,11713.895,0.2,77.4,0.768,5.674,0,0
Botswana,25.8,3.941,15807.374,2.3555555555555556,69.59,0.717,3.479,3,3
Brazil,33.5,8.552,14103.452,3.4,75.88,0.759,6.376,0,0
Brunei,32.4,4.591,71809.251,0.6074074074074074,75.86,0.853,6.659642857142858,2,1
Bulgaria,44.7,20.801,18563.307,1.5,75.05,0.813,5.102,0,2
Burkina Faso,17.6,2.409,1703.102,43.7,61.58,0.423,4.769,1,4
Burundi,17.5,2.562,702.225,71.7,61.58,0.417,3.775,1,4
Cambodia,25.6,4.412,3645.07,16.845833333333335,69.82,0.582,4.848,3,3
Cameroon,18.8,3.165,3364.926,23.8,59.29,0.556,5.085,1,3
Canada,41.4,16.984,44017.591,0.5,82.43,0.926,7.232,2,2
Cape Verde,25.7,4.46,6222.554,16.845833333333335,72.98,0.654,5.051238095238095,3,3
Central African Republic,18.3,3.655,661.24,42.81785714285714,53.28,0.367,3.476,1,4
Chad,16.7,2.486,1768.153,38.4,54.24,0.404,4.423,1,4
Chile,35.4,11.087,22767.037,1.3,80.18,0.843,6.228,0,0
China,38.7,10.641,15308.712,0.7,76.91,0.752,5.124,0,0
Colombia,32.2,7.646,13254.949,4.5,77.29,0.747,6.163,0,0
Comoros,20.4,2.963,1413.89,18.1,64.32,0.503,4.289,1,4
Congo,19.0,3.402,4881.406,37.0,64.57,0.606,4.311,1,4
Costa Rica,33.6,9.468,15524.995,1.3,80.28,0.794,7.121,0,0
Cote d'Ivoire,18.7,2.933,3601.006,28.2,57.78,0.492,4.151666666666666,1,4
Croatia,44.0,19.724,22669.797,0.7,78.49,0.831,5.505,2,2
Cuba,43.1,14.738,16037.449722222227,2.3555555555555556,78.8,0.777,5.4469642857142855,0,0
Czechia,43.3,19.027,32605.906,0.6074074074074074,79.38,0.888,6.911,2,2
Democratic Republic of Congo,17.0,3.02,808.133,77.1,60.68,0.457,5.194,1,4
Denmark,42.3,19.677,46682.515,0.2,80.9,0.929,7.646,2,2
Djibouti,25.4,4.213,2705.406,22.5,67.11,0.476,4.151666666666666,1,4
Dominica,30.9,8.696,9673.367,2.3555555555555556,75.0,0.715,5.4469642857142855,0,0
Dominican Republic,27.6,6.981,14600.861,1.6,74.08,0.736,5.689,0,0
Ecuador,28.1,7.104,10581.936,3.6,77.01,0.752,5.925,0,0
Egypt,25.3,5.159,10550.206,1.3,71.99,0.696,4.151,3,3
El Salvador,27.6,8.273,7292.458,2.2,73.32,0.674,6.348,0,0
Equatorial Guinea,22.4,2.846,22604.873,16.845833333333335,58.74,0.591,5.051238095238095,3,3
Eritrea,19.3,3.607,1510.459,42.81785714285714,66.32,0.44,4.151666666666666,1,4
Estonia,42.7,19.452,29481.252,0.5,78.74,0.871,6.022,2,2
Eswatini,21.5,3.163,7738.975,16.845833333333335,60.19,0.588,4.308,3,3
Ethiopia,19.8,3.526,1729.927,26.7,66.6,0.463,4.186,1,4
Fiji,28.6,6.224,8702.975,1.4,67.44,0.741,5.4469642857142855,3,0
Finland,42.8,21.228,40585.721,0.6074074074074074,81.91,0.92,7.809,2,2
France,42.0,19.718,38605.671,0.6074074074074074,82.66,0.901,6.664,2,2
Gabon,23.1,4.45,16562.413,3.4,66.47,0.702,4.829,3,3
Gambia,17.5,2.339,1561.767,10.1,62.05,0.46,4.751,3,3
Georgia,38.7,14.864,9745.079,4.2,73.77,0.78,4.673,0,0
Germany,46.6,21.453,45229.245,0.6074074074074074,81.33,0.936,7.076,2,2
Ghana,21.1,3.385,4227.63,12.0,64.07,0.592,5.148,3,3
Greece,45.3,20.396,24574.382,1.5,82.24,0.87,5.515,2,2
Grenada,29.4,7.304,13593.877,2.3555555555555556,72.4,0.772,5.4469642857142855,0,0
Guatemala,22.9,4.694,7423.808,8.7,74.3,0.65,6.399,3,0
Guinea,19.0,3.135,1998.926,35.3,61.6,0.459,4.949,1,4
Guinea-Bissau,19.4,3.002,1548.675,67.1,58.32,0.455,4.151666666666666,1,4
Guyana,26.3,5.305,7435.047,16.845833333333335,69.91,0.654,5.051238095238095,3,3
Haiti,24.3,4.8,1653.173,23.5,64.0,0.498,3.721,1,4
Honduras,24.9,4.652,4541.795,16.0,75.27,0.617,5.953,3,0
Hong Kong,44.8,16.303,56054.92,0.6074074074074074,84.86,0.933,5.51,2,2
Hungary,43.4,18.577,26777.561,0.5,76.88,0.838,6.0,2,2
Iceland,37.3,14.431,46482.958,0.2,82.99,0.935,7.504,2,2
India,28.2,5.989,6426.674,21.2,69.66,0.64,3.573,3,3
Indonesia,29.3,5.319,11188.744,5.7,71.72,0.694,5.286,3,0
Iran,32.4,5.44,19082.62,0.2,76.68,0.798,4.672,0,0
Iraq,20.0,3.186,15663.986,2.5,70.6,0.685,4.785,3,3
Ireland,38.7,13.928,67335.293,0.2,82.3,0.938,7.094,2,2
Israel,30.6,11.733,33132.32,0.5,82.97,0.903,7.129,2,1
Italy,47.9,23.021,35220.084,2.0,83.51,0.88,6.387,2,2
Jamaica,31.4,9.684,8193.571,2.3555555555555556,74.47,0.732,5.89,0,0
Japan,48.2,27.049,39002.223,0.6074074074074074,84.63,0.909,5.871,2,2
Jordan,23.2,3.81,8337.49,0.1,74.53,0.735,4.633,3,3
Kazakhstan,30.6,6.991,24055.588,0.1,73.6,0.8,6.058,0,0
Kenya,20.0,2.686,2993.028,36.8,66.7,0.59,4.583,1,4
Kosovo,30.9,8.696,9795.834,0.6,72.58,0.7088688524590163,6.325,0,0
Kuwait,33.7,2.345,65530.537,2.3555555555555556,75.49,0.803,6.102,0,1
Kyrgyzstan,26.3,4.489,3393.474,1.4,71.45,0.672,5.542,3,0
Laos,24.4,4.029,6397.36,22.7,67.92,0.601,4.889,3,3
Latvia,43.9,19.754,25063.846,0.7,75.29,0.847,5.95,2,2
Lebanon,31.1,8.514,13367.565,2.3555555555555556,78.93,0.757,4.772,0,0
Lesotho,22.2,4.506,2851.153,59.6,54.33,0.52,3.653,1,4
Liberia,19.2,3.057,752.788,38.6,64.1,0.435,4.558,1,4
Libya,29.0,4.424,17881.509,2.3555555555555556,72.91,0.706,5.489,3,0
Liechtenstein,30.9,8.696,44472.914500000006,0.6074074074074074,82.49,0.916,6.659642857142858,2,1
Lithuania,43.5,19.002,29524.265,0.7,75.93,0.858,6.215,2,2
Luxembourg,39.7,14.312,94277.965,0.2,82.25,0.904,7.238,2,1
Madagascar,19.6,2.929,1416.44,77.6,67.04,0.519,4.166,1,4
Malawi,18.1,2.979,1095.042,71.4,64.26,0.477,3.538,1,4
Malaysia,29.9,6.293,26808.164,0.1,76.16,0.802,5.384,0,0
Maldives,30.6,4.12,15183.616,2.3555555555555556,78.92,0.717,5.198,0,0
Mali,16.4,2.519,2014.306,42.81785714285714,59.31,0.427,4.729,1,4
Malta,42.4,19.426,36513.323,0.2,82.53,0.878,6.773,2,2
Marshall Islands,30.9,8.696,3819.202,2.3555555555555556,73.7,0.708,5.4469642857142855,0,0
Mauritania,20.3,3.138,3597.633,6.0,64.92,0.52,4.375,3,3
Mauritius,37.4,10.945,20292.745,0.5,74.99,0.79,6.101,0,0
Mexico,29.3,6.857,17336.469,2.5,75.05,0.774,6.465,0,0
Moldova,37.6,10.864,5189.972,0.2,71.9,0.7,5.608,0,0
Monaco,30.9,8.696,16037.449722222227,2.3555555555555556,86.75,0.7088688524590163,5.4469642857142855,0,0
Mongolia,28.6,4.031,11840.846,0.5,69.87,0.741,5.456,3,0
Montenegro,39.1,14.762,16409.288,1.0,76.88,0.814,5.546,0,0
Morocco,29.6,6.769,7485.013,1.0,76.68,0.667,5.095,0,0
Mozambique,17.7,3.158,1136.103,62.9,60.85,0.437,4.624,1,4
Myanmar,29.1,5.732,5591.597,6.4,67.13,0.578,4.308,3,3
Namibia,22.0,3.552,9541.808,13.4,63.71,0.647,4.571,3,3
Nepal,25.0,5.809,2442.804,15.0,70.78,0.574,5.137,3,3
Netherlands,43.2,18.779,48472.545,0.6074074074074074,82.28,0.931,7.449,2,2
New Zealand,37.9,15.322,36085.843,0.6074074074074074,82.29,0.917,7.3,2,2
Nicaragua,27.3,5.445,5321.444,3.2,74.48,0.658,6.137,3,0
Niger,15.1,2.553,926.0,44.5,62.42,0.354,4.91,1,4
Nigeria,18.1,2.751,5338.454,42.81785714285714,54.69,0.532,4.724,1,4
North Macedonia,39.1,13.26,13111.214,5.0,75.8,0.757,5.16,0,0
Norway,39.7,16.821,64800.057,0.2,82.4,0.953,7.488,2,2
Oman,30.7,2.355,37960.709,2.3555555555555556,77.86,0.821,5.4469642857142855,0,1
Pakistan,23.5,4.495,5034.708,4.0,67.27,0.562,5.693,3,3
Palestine,20.4,3.043,4449.898,1.0,74.05,0.686,4.553,3,3
Panama,29.7,7.918,22267.037,2.2,78.51,0.789,6.305,0,0
Papua New Guinea,22.6,3.808,3823.194,16.845833333333335,64.5,0.544,5.051238095238095,3,3
Paraguay,26.5,6.378,8827.01,1.7,74.25,0.702,5.692,3,0
Peru,29.1,7.151,12236.706,3.5,76.74,0.75,5.797,0,0
Philippines,25.2,4.803,7599.188,2.3555555555555556,71.23,0.699,6.006,3,0
Poland,41.8,16.763,27216.445,0.6074074074074074,78.73,0.865,6.186,2,2
Portugal,46.2,21.502,27936.896,0.5,82.05,0.847,5.911,2,2
Qatar,31.9,1.307,116935.6,0.6074074074074074,80.23,0.856,6.659642857142858,2,1
Romania,43.0,17.85,23313.199,5.7,76.05,0.811,6.124,2,2
Russia,39.6,14.178,24765.954,0.1,72.58,0.816,5.546,0,0
Rwanda,20.3,2.974,1854.211,56.0,69.02,0.524,3.312,1,4
Saint Kitts and Nevis,30.9,8.696,24654.385,2.3555555555555556,76.23,0.778,5.4469642857142855,0,0
Saint Lucia,34.9,9.721,12951.839,2.3555555555555556,76.2,0.747,5.4469642857142855,0,0
Saint Vincent and the Grenadines,31.8,7.724,10727.146,2.3555555555555556,72.53,0.723,5.4469642857142855,0,0
Samoa,22.0,5.606,6021.557,2.3555555555555556,73.32,0.713,5.4469642857142855,3,0
San Marino,30.9,8.696,56861.47,2.3555555555555556,84.97,0.7088688524590163,5.4469642857142855,0,1
Sao Tome and Principe,18.7,2.886,3052.714,32.3,70.39,0.589,5.051238095238095,3,3
Saudi Arabia,31.9,3.295,49045.411,0.6074074074074074,75.13,0.853,6.406,0,1
Senegal,18.7,3.008,2470.58,38.0,67.94,0.505,4.981,1,4
Serbia,41.2,17.366,14048.881,2.3555555555555556,76.0,0.787,5.778,0,0
Seychelles,36.2,8.606,26382.287,1.1,73.4,0.797,5.4469642857142855,0,0
Sierra Leone,19.1,2.538,1390.3,52.2,54.7,0.419,3.926,1,4
Singapore,42.4,12.922,85535.383,0.6074074074074074,83.62,0.932,6.377,2,1
Slovakia,41.2,15.07,30155.152,0.7,77.54,0.855,6.281,2,2
Slovenia,44.5,19.062,31400.84,0.6074074074074074,81.32,0.896,6.363,2,2
Solomon Islands,20.8,3.507,2205.923,25.1,73.0,0.546,5.051238095238095,3,3
Somalia,16.8,2.731,16037.449722222227,2.3555555555555556,57.4,0.7088688524590163,5.4469642857142855,3,3
South Africa,27.3,5.344,12294.876,18.9,64.13,0.699,4.814,3,3
South Korea,43.4,13.914,35938.374,0.2,83.03,0.903,5.872,2,2
South Sudan,19.2,3.441,1569.888,42.81785714285714,57.85,0.388,2.817,1,4
Spain,45.5,19.436,34272.36,1.0,83.56,0.891,6.401,2,2
Sri Lanka,34.1,10.069,11669.077,0.7,76.98,0.77,4.327,0,0
Sudan,19.7,3.548,4466.507,42.81785714285714,65.31,0.502,4.151666666666666,1,4
Suriname,29.6,6.933,13767.119,2.3555555555555556,71.68,0.72,5.4469642857142855,0,0
Sweden,41.0,19.985,46949.283,0.5,82.8,0.933,7.353,2,2
Switzerland,43.1,18.436,57410.166,0.6074074074074074,83.78,0.944,7.56,2,2
Syria,21.7,8.696,1922.9558857142854,42.81785714285714,72.7,0.536,4.151666666666666,1,3
